date, pm25, pm10, o3, no2, co
11/2/22,54,13,27,8,2
11/3/22,23,15,30,6,1
11/4/22,15,18,26,18,3
11/5/22,24,28,26,24,5
11/6/22,46,26,4,25,8
11/7/22,58,11,20,11,2
11/8/22,30,8,27,10,2
11/9/22,17,12,27,13,3
11/10/22,22,18,23,19,4
11/11/22,34,18,28,21,4
11/12/22,32,21,28,19,4
11/13/22,38,20,31,15,4
11/14/22,40,25,26,22,6
11/15/22,39,27,22,28,6
11/16/22,41,37,18,28,7
11/17/22,37,30,27,28,7
11/18/22,38,36,22,29,7
11/19/22,53,25,29,23,6
11/20/22,45,23,33,21,5
11/21/22,40,24,26,25,4
11/22/22,37,20,2,32,4
10/2/22,43,21,42,2,1
10/3/22,43,23,37,11,3
10/4/22,40,30,39,16,4
10/5/22,50,34,44,14,3
10/6/22,61,35,42,11,3
10/7/22,66,48,51,13,3
10/8/22,72,43,51,14,4
10/9/22,69,33,39,7,2
10/10/22,58,35,37,10,2
10/11/22,61,30,36,9,2
10/12/22,51,23,36,7,2
10/13/22,44,34,36,12,3
10/14/22,71,22,27,12,2
10/15/22,53,13,29,7,1
10/16/22,30,12,31,7,2
10/17/22,30,21,34,15,4
10/18/22,38,26,50,23,5
10/19/22,48,22,42,25,4
10/20/22,31,23,41,25,4
10/21/22,38,23,38,13,3
10/22/22,50,18,33,5,2
10/23/22,43,18,33,7,2
10/24/22,31,26,33,15,3
10/25/22,34,29,32,24,4
10/26/22,36,33,34,21,5
10/27/22,39,35,38,23,4
10/28/22,52,43,37,27,6
10/29/22,60,39,40,24,6
10/30/22,57,33,49,25,7
10/31/22,58,37,32,31,7
11/1/22,59,27,33,13,3
9/2/22,62,37,52,23,4
9/3/22,62,33,67,17,3
9/4/22,57,30,69,15,3
9/5/22,48,25,64,12,3
9/6/22,51,33,55,17,3
9/7/22,52,36,50,22,4
9/8/22,61,36,40,22,4
9/9/22,53,46,24,15,2
9/10/22,36,13,21,8,1
9/11/22,28,10,31,5,1
9/12/22,24,13,23,7,1
9/13/22,23,24,30,10,2
9/14/22,51,23,31,10,1
9/15/22,46,26,35,12,2
9/16/22,45,33,41,15,3
9/17/22,56,31,38,10,3
9/18/22,55,22,33,4,1
9/19/22,44,17,27,10,2
9/20/22,24,13,21,8,2
9/21/22,20,15,27,9,2
9/22/22,27,23,30,16,3
9/23/22,33,28,53,20,4
9/24/22,47,25,48,14,4
9/25/22,48,29,42,17,4
9/26/22,50,32,41,22,5
9/27/22,50,35,49,27,6
9/28/22,56,37,59,21,6
9/29/22,59,31,42,14,3
9/30/22,51,28,34,9,2
10/1/22,50,20,37,3,1
8/2/22,38,16,25,6,1
8/3/22,37,23,33,9,2
8/4/22,43,25,30,10,2
8/5/22,47,21,29,14,2
8/6/22,44,23,29,12,2
8/7/22,45,27,49,17,4
8/8/22,53,32,43,16,3
8/9/22,58,28,46,20,3
8/10/22,51,31,45,20,3
8/11/22,53,29,39,19,3
8/12/22,42,35,44,20,4
