STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WSF2,WT01,WT02,WT05,WT07,WT08,WT09,WT13,WT16
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/1/10,0.89,0,,,70,51,270,8.1,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/2/10,0.89,0,,,78,50,10,6.9,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/3/10,1.34,0,,,79,54,20,6,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/4/10,2.24,0,,,77,56,270,6,,,,,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/5/10,1.57,0,,,78,54,270,12.1,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/6/10,0.67,0,,,76,52,280,6,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/7/10,0.45,0,,,74,49,270,6,1,,,1,1,,1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/8/10,0.67,0,,,79,51,10,4.9,1,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/9/10,1.12,0,,,77,58,20,6,,,,,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/10/10,0.67,0,,,77,54,260,6.9,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/11/10,0.67,0,,,81,52,270,4.9,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/12/10,0.45,0,,,73,53,270,6.9,1,,,1,1,,1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/13/10,2.46,0.16,,,66,54,270,10.1,1,,1,1,1,,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/14/10,1.12,0,,,74,51,90,6.9,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/15/10,0.22,0,,,76,50,260,6,,,,,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/16/10,0.45,0,,,71,54,270,8.1,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/17/10,0.89,0.31,,,66,54,100,6.9,1,,1,,,,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/18/10,4.7,1.12,,,62,56,140,16.1,1,,1,,1,,1,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/19/10,4.25,0.61,,,58,50,100,15,1,,1,,,,1,1
