"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WSF2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-01","6.71","0.13",,"81","57","  290","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-02","8.50","0.00",,"65","49","  340","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-03","6.93","0.00",,"62","47","  340","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-04","7.83","0.00",,"61","44","  300","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-05","6.49","0.00",,"60","43","  310","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-06","6.93","0.00",,"58","40","  340","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-07","3.36","0.00",,"62","44","  330","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-08","3.58","0.00",,"74","49","  210","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-09","10.07","0.44",,"63","38","  340","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-10","11.18","0.00",,"48","35","  330","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-11","7.61","0.00",,"62","36","  330","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-12","6.71","0.00",,"63","43","  330","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-13","6.71","0.00",,"66","47","  340","11.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-14","4.92","0.00",,"75","54","   90","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-15","9.62","0.00",,"79","63","  110","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-16","13.87","0.00",,"81","71","  110","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-17","10.51","0.28",,"81","68","  260","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-18","5.37","0.00",,"77","63","  290","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-19","3.36","0.00",,"70","57","  250","8.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-20","3.80","0.00",,"80","56","  130","12.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-21","10.51","0.00",,"83","71","  170","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-22","10.07","0.00",,"86","74","  250","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-23","8.05","0.00",,"83","72","   90","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-24","13.87","0.00",,"81","73","  140","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-25","12.08","0.03",,"83","60","  180","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-26","5.82","0.00",,"73","55","  360","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-27","6.04","0.00",,"74","55","   80","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-28","6.49","0.00",,"77","59","   90","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-29","8.72","0.00",,"79","66","   90","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-30","9.17","0.00",,"83","71","  160","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-31","7.61","0.01",,"74","68","   60","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-01","8.95","2.90",,"75","68","  100","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-02","4.92","0.28",,"83","70","  200","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-03","7.61","0.00",,"78","65","   70","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-04","9.84","0.00",,"78","64","  100","17.9"
