PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1022,5,25,17,61,12.07,60,10,296.3,331.3,298.4
1003,171,23.3,16.1,64,11.63,50,22,296.2,329.9,298.2
1000,197,23,16,65,11.56,50,22,296.1,329.7,298.2
969,471,20.2,15.2,73,11.33,54,24,296,328.9,298
928,842,16.9,14.6,87,11.41,60,27,296.3,329.4,298.3
925,870,16.6,14.6,88,11.42,65,26,296.3,329.4,298.3
901,1094,14.6,14.5,99,11.65,73,24,296.4,330.3,298.5
899,1113,14.2,13.2,94,10.71,74,24,296.2,327.4,298.1
896,1141,14.2,12.3,88,10.12,75,24,296.5,326,298.3
893,1169,14,13.1,94,10.72,74,24,296.6,327.8,298.5
891,1188,14,11.4,84,9.59,74,24,296.8,324.8,298.5
887,1226,14,11.4,84,9.63,73,24,297.2,325.4,298.9
883,1265,13.8,11.5,86,9.74,72,24,297.3,325.9,299.1
873,1361,12.9,11.2,89,9.64,70,24,297.4,325.6,299.1
852,1565,11,10.5,97,9.44,70,21,297.5,325.1,299.1
850,1585,10.8,9.9,94,9.08,70,21,297.4,324.1,299.1
837,1714,10.8,6.7,76,7.4,78,19,298.8,320.8,300.1
833,1754,11.7,1.9,51,5.29,80,19,300.2,316.2,301.1
826,1825,13.4,-6.6,24,2.84,77,18,302.6,311.6,303.2
809,2000,14.6,-26.4,4,0.55,68,17,305.7,307.7,305.8
803,2062,14.2,-27.1,4,0.52,65,16,306,307.8,306.1
747,2666,10.6,-33.7,3,0.3,95,14,308.4,309.5,308.4
733,2824,9.6,-35.4,3,0.26,95,12,309,309.9,309
723,2937,9.2,-33.7,3,0.31,95,11,309.8,310.9,309.8
700,3204,8.2,-29.8,5,0.46,70,10,311.5,313.2,311.6
685,3382,7.4,-31.9,4,0.39,55,10,312.6,314,312.6
670,3564,6.6,-34.1,4,0.32,60,12,313.6,314.8,313.7
667,3601,6.4,-34.6,3,0.31,58,12,313.8,315,313.9
651,3800,4.6,-35.4,4,0.29,44,15,314,315.1,314.1
640,3938,3.9,-34.4,4,0.33,35,16,314.7,315.9,314.7
591,4582,0.4,-29.6,8,0.56,40,12,317.9,320,318
588,4623,0.1,-29.6,9,0.56,40,12,318,320.1,318.1
562,4983,-2.6,-29.5,11,0.59,5,10,318.9,321.1,319
554,5097,-3.5,-29.5,11,0.6,352,8,319.2,321.4,319.3
553,5112,-3.6,-30.1,11,0.57,350,8,319.3,321.4,319.4
